epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,327.263,1.24084,4.0786,0.01909,0.82128,0.73715,0.82628,0.49836,1.36362,2.99578,0.03383,0.00066483,0.00066483,0.00066483
2,614.247,1.36172,1.60869,0.02197,0.89029,0.83407,0.92126,0.52409,1.51848,1.03786,0.03747,0.00131831,0.00131831,0.00131831
3,906.876,1.41663,1.16323,0.02283,0.89787,0.86637,0.93396,0.56659,1.40434,0.72855,0.03439,0.0019586,0.0019586,0.0019586
4,1197.77,1.40727,1.02054,0.02255,0.94442,0.87325,0.95815,0.58887,1.41943,0.61684,0.0367,0.0019406,0.0019406,0.0019406
5,1493.11,1.38743,0.9461,0.0221,0.89477,0.90162,0.94639,0.58711,1.34433,0.68984,0.03187,0.0019208,0.0019208,0.0019208
6,1801.04,1.36521,0.9167,0.02183,0.94436,0.89726,0.94856,0.58069,1.38801,0.63456,0.03515,0.001901,0.001901,0.001901
7,2105.58,1.34629,0.85476,0.02127,0.93634,0.86386,0.94169,0.62047,1.26726,0.62493,0.03086,0.0018812,0.0018812,0.0018812
8,2399.57,1.3453,0.84331,0.02139,0.94406,0.9442,0.9746,0.63246,1.30123,0.47683,0.03179,0.0018614,0.0018614,0.0018614
9,2691.57,1.31354,0.82338,0.02057,0.93126,0.93496,0.97415,0.62556,1.32065,0.51681,0.03214,0.0018416,0.0018416,0.0018416
10,2984.86,1.2966,0.76969,0.02033,0.94998,0.94821,0.98229,0.65113,1.24901,0.43083,0.03043,0.0018218,0.0018218,0.0018218
11,3276.53,1.29573,0.77346,0.02024,0.9544,0.92192,0.97218,0.62511,1.30355,0.48929,0.03144,0.001802,0.001802,0.001802
12,3565.95,1.27807,0.75398,0.01983,0.94543,0.89721,0.96102,0.61486,1.31051,0.52497,0.03166,0.0017822,0.0017822,0.0017822
13,3851.52,1.25756,0.73965,0.01959,0.96941,0.93078,0.98052,0.66648,1.21975,0.42879,0.02905,0.0017624,0.0017624,0.0017624
14,4140.44,1.24195,0.71665,0.01922,0.95994,0.95011,0.97625,0.65624,1.26521,0.40939,0.03134,0.0017426,0.0017426,0.0017426
15,4427.38,1.25785,0.71389,0.01937,0.95037,0.95609,0.98271,0.66005,1.21849,0.43224,0.02904,0.0017228,0.0017228,0.0017228
16,4720.85,1.23426,0.70239,0.01915,0.96721,0.92952,0.97864,0.64265,1.28044,0.44695,0.03038,0.001703,0.001703,0.001703
17,5014.24,1.24112,0.69888,0.01945,0.96326,0.96329,0.98504,0.64916,1.2779,0.39361,0.03085,0.0016832,0.0016832,0.0016832
18,5308.83,1.21986,0.68079,0.01858,0.96863,0.95219,0.98605,0.67791,1.19295,0.37681,0.02904,0.0016634,0.0016634,0.0016634
19,5600.46,1.21368,0.67364,0.0185,0.96918,0.94714,0.98652,0.68313,1.19974,0.40125,0.02853,0.0016436,0.0016436,0.0016436
20,5894.41,1.20301,0.67529,0.01862,0.96203,0.96721,0.98955,0.69336,1.16089,0.35041,0.02738,0.0016238,0.0016238,0.0016238
21,6188.79,1.2064,0.65162,0.01842,0.97122,0.96916,0.99065,0.68562,1.1565,0.34279,0.0272,0.001604,0.001604,0.001604
22,6483.03,1.20069,0.65541,0.01843,0.97152,0.95448,0.99104,0.67489,1.20303,0.3599,0.02888,0.0015842,0.0015842,0.0015842
23,6775.84,1.19452,0.65937,0.01842,0.96442,0.9552,0.98571,0.69302,1.12698,0.36284,0.02604,0.0015644,0.0015644,0.0015644
24,7077.27,1.17082,0.64446,0.018,0.97274,0.93979,0.98285,0.68462,1.15304,0.38791,0.02694,0.0015446,0.0015446,0.0015446
25,7401.18,1.18336,0.64943,0.01802,0.96931,0.96916,0.98988,0.68725,1.16861,0.346,0.02682,0.0015248,0.0015248,0.0015248
