epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
47,586.036,0.97571,0.57736,0.01463,0.91868,0.82921,0.91284,0.69718,1.02964,0.41874,0.02292,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,1138.6,0.97778,0.58855,0.01456,0.91569,0.85711,0.91346,0.71046,1.02494,0.41408,0.02285,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,1695.99,0.96823,0.58933,0.01433,0.86712,0.8885,0.92704,0.7054,1.03026,0.41675,0.02311,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,2250.86,0.97406,0.58625,0.01441,0.90352,0.82194,0.90678,0.68832,1.02614,0.43075,0.02293,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,2804.52,0.96614,0.57996,0.01448,0.89895,0.81681,0.90868,0.70506,1.02891,0.43014,0.02293,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,3356.82,0.95528,0.55711,0.01432,0.92685,0.80669,0.90915,0.70779,1.01179,0.40683,0.02257,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,3904.02,0.95518,0.56256,0.0144,0.9158,0.86418,0.9275,0.71296,1.02338,0.40443,0.02281,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,4453.11,0.94582,0.55313,0.014,0.8699,0.85466,0.9023,0.70306,1.01588,0.40018,0.02269,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,4999.71,0.93998,0.55618,0.01397,0.9187,0.84408,0.90855,0.70925,1.01613,0.40908,0.02265,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,5544.08,0.92962,0.5728,0.0139,0.88735,0.86088,0.91272,0.70114,1.01162,0.43431,0.0226,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,6090.48,0.9376,0.55773,0.01399,0.88192,0.88474,0.90997,0.70236,1.02087,0.40354,0.02295,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,6636.97,0.91845,0.54475,0.0138,0.929,0.85791,0.91474,0.71722,1.00312,0.41038,0.02223,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,7184.48,0.92118,0.54437,0.01366,0.90531,0.84271,0.90449,0.70351,0.99701,0.41979,0.0221,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
