epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,84.8856,1.17387,4.35871,0.0184,0.47683,0.36829,0.37855,0.23777,1.25761,3.47888,0.0292,0.00998395,0.00332798,0.00998395,0.00332798,0.00998395,0.00332798,0.00998395,0.00332798
2,136.514,1.25664,1.97335,0.02011,0.55012,0.57434,0.55173,0.34439,1.35918,1.42033,0.03334,0.0198521,0.00661735,0.0198521,0.00661735,0.0198521,0.00661735,0.0198521,0.00661735
3,182.007,1.36006,1.53304,0.02235,0.62004,0.50826,0.55931,0.31541,1.4852,1.27564,0.0372,0.0295882,0.00986272,0.0295882,0.00986272,0.0295882,0.00986272,0.0295882,0.00986272
4,225.773,1.43387,1.53682,0.02379,0.46967,0.47017,0.43837,0.25309,1.50022,1.20307,0.03794,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802,0.029406,0.009802
5,268.191,1.40636,1.38972,0.0231,0.48568,0.60557,0.56756,0.3256,1.45564,1.03305,0.0362,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736,0.029208,0.009736
6,311.011,1.38562,1.33135,0.0227,0.55157,0.57928,0.60169,0.37668,1.39631,0.90991,0.0335,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
7,354.494,1.3723,1.27521,0.02235,0.6153,0.59649,0.64007,0.39192,1.38451,0.81931,0.03441,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
8,397.626,1.34891,1.20366,0.02174,0.6609,0.7175,0.7205,0.45156,1.36711,0.76285,0.03318,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538,0.028614,0.009538
9,440.608,1.32964,1.16309,0.02125,0.66352,0.648,0.67739,0.4407,1.28133,0.73169,0.0306,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472,0.028416,0.009472
10,483.66,1.30809,1.13655,0.02114,0.7112,0.76511,0.75019,0.50797,1.30951,0.7088,0.03114,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
11,526.439,1.28964,1.09484,0.02071,0.69297,0.55323,0.62058,0.38845,1.2977,0.81958,0.03109,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934,0.02802,0.00934
12,569.566,1.29471,1.08737,0.02076,0.66621,0.7132,0.73191,0.484,1.29616,0.68208,0.03107,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274,0.027822,0.009274
13,612.794,1.27664,1.05688,0.02036,0.73012,0.75372,0.7726,0.50773,1.2672,0.67367,0.03009,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
14,655.663,1.26617,1.02837,0.02029,0.77657,0.74911,0.79502,0.51645,1.30872,0.64659,0.03162,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142,0.027426,0.009142
15,698.621,1.26901,1.03134,0.01999,0.83109,0.68644,0.7973,0.52717,1.25609,0.61066,0.02966,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076,0.027228,0.009076
16,741.876,1.2472,0.99819,0.0198,0.84637,0.66617,0.77651,0.52684,1.25349,0.64033,0.02934,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
17,784.958,1.241,0.99588,0.01947,0.81011,0.7185,0.79828,0.5437,1.25185,0.63197,0.02999,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944,0.026832,0.008944
18,828.454,1.24111,0.97318,0.0196,0.72908,0.79856,0.80309,0.53802,1.2325,0.61715,0.02904,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878,0.026634,0.008878
19,872.036,1.2367,0.95854,0.01937,0.78511,0.7052,0.80056,0.56141,1.20941,0.61033,0.02814,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
20,915.895,1.21474,0.94439,0.01893,0.78154,0.7301,0.80897,0.53452,1.23769,0.59332,0.02933,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746,0.026238,0.008746
21,959.34,1.21192,0.93632,0.01898,0.79232,0.75101,0.80184,0.55806,1.1916,0.56581,0.02809,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868,0.02604,0.00868
22,1002.42,1.20289,0.93059,0.01877,0.8615,0.73975,0.85092,0.5995,1.23009,0.61495,0.02831,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
23,1045.4,1.20469,0.91075,0.01877,0.74445,0.79207,0.8239,0.58964,1.18354,0.58617,0.02725,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548,0.025644,0.008548
24,1088.67,1.20114,0.90368,0.0187,0.79325,0.74742,0.80734,0.57603,1.16391,0.54003,0.02697,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482,0.025446,0.008482
25,1131.59,1.19504,0.89867,0.01872,0.81947,0.7723,0.85165,0.59763,1.20687,0.55299,0.02822,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
26,1174.74,1.18444,0.90148,0.01815,0.87681,0.68563,0.81824,0.59739,1.16253,0.54525,0.02711,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835,0.02505,0.00835
27,1218.07,1.18119,0.89322,0.01826,0.8054,0.76211,0.79461,0.55033,1.16395,0.53136,0.0271,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284,0.024852,0.008284
28,1261.32,1.17373,0.86694,0.01811,0.83149,0.74461,0.839,0.60417,1.15065,0.53542,0.0269,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
29,1304.76,1.15959,0.86115,0.01787,0.85985,0.76441,0.85578,0.61576,1.17282,0.52148,0.02705,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152,0.024456,0.008152
30,1348.59,1.17646,0.85312,0.01818,0.78645,0.82461,0.85698,0.6215,1.14782,0.49699,0.02627,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086,0.024258,0.008086
31,1391.83,1.16324,0.85512,0.01772,0.82898,0.73081,0.85096,0.6268,1.13661,0.52515,0.0261,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
32,1435.66,1.1559,0.8209,0.01776,0.69833,0.83744,0.81995,0.58541,1.14323,0.52797,0.0264,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,1479.41,1.1577,0.83976,0.01769,0.84186,0.83432,0.88231,0.63663,1.15341,0.53171,0.02666,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,1523.1,1.14845,0.81721,0.01771,0.84843,0.82781,0.88617,0.64468,1.13716,0.53197,0.02616,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,1566.17,1.13121,0.80985,0.01737,0.81939,0.82489,0.86048,0.62283,1.13579,0.49418,0.02628,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,1609.63,1.13989,0.80488,0.01751,0.84681,0.79695,0.86106,0.62957,1.13114,0.52602,0.02573,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,1652.91,1.14975,0.81174,0.01761,0.78493,0.84708,0.86561,0.63281,1.12327,0.50094,0.02591,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,1696.15,1.13144,0.80886,0.01753,0.86209,0.84958,0.8973,0.67034,1.12234,0.50464,0.0257,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,1739.39,1.12636,0.7894,0.01739,0.79067,0.83413,0.86606,0.63463,1.1072,0.50376,0.02531,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,1783.37,1.1298,0.78891,0.01726,0.85488,0.84404,0.89137,0.65862,1.10724,0.50846,0.02527,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
